Timeline,Start time,Duration,Row,Instance number,#0 LaBaron Philon,#1 Mark Sears,#10 Mo Dioubate,#11 Cliff Omoruyi,#15 Jarin Stevenson,#2 Aden Holloway,#22 Aiden Sherrell,#24 Naas Cunningham,#3 Latrell Wrightsell Jr,#3 Latrell Wrightsell Jr.,#31 Jack Fagan,#34 Klark James,#35 Derrion Reid,#4 Grant Nelson,#95 Houston Mallette,-,2FG (Defenders),2FG (Dribble),2FG (Feet),2FG (Hands),2FG (Other),2FG (PA),2FG (RA),2FG (Type),2FG Scheme (Attack),2FG Scheme (Drive),2FG Scheme (Pass),3FG (Contest),3FG (Footwork),3FG (Good/Bad),3FG (Line),3FG (Move),3FG (Pocket),3FG (Shrink),3FG (Type),3FG Scheme (Attack),3FG Scheme (Drive),3FG Scheme (Pass),3s GIVEN UP,ATR GIVEN UP,Assist (Defenders),Assist (Feet),Assist (Hand),Assist (Jump),Assist (Paint),Assist Type,CRIMSON,DRILL NAME,GAME,GAME SPLITS,Jaden Toombs,OPP STATS,PAINT TOUCHES,PLAYCALL,PLAYER POSSESSIONS,POSITION,POSSESSION START,POSSESSION TYPE,READ,SERIES,SHOT CLOCK,SHOT CLOCK PT,Shot Location,Shot Possession Type,TEAM,TEAM DEFENSE,TERM,TO (Defenders),TO (Feet),TO (Hand),TO (Jump),TO (Paint),TO LB/DB,TO Scheme,TO Scheme (Attack),TO Scheme (Drive),TO Scheme (Non-Pass),TO Scheme (Pass),TO Type,WHITE,Ungrouped,Notes,Flags
24_11_08 ALABAMA VS ARKANSAS STATE,728.9144222222222,18.35183569800006,OFF Note,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,775.1478037412223,25.413417969999955,OFF Note,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,810.5198503942222,17.530850667000095,OFF Note,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,844.0653771902223,10.449573474999966,OFF Note,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,921.5129415142223,16.96587805199988,OFF Note,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,999.4064194302223,10.978712142999939,OFF Note,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,1072.3229318212223,10.784426387999929,OFF Note,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,1096.2498770412221,19.887011838000035,OFF Note,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,1156.6719552752222,14.785658462000129,OFF Note,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,1250.0979479732223,10.884821928999827,OFF Note,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,1364.1253958552222,22.50035024800013,OFF Note,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,1454.7412544322224,14.709920222999926,OFF Note,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,1493.8365356132222,16.08749292100015,OFF Note,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,1730.1891247942222,15.534942524000144,OFF Note,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24_11_08 ALABAMA VS ARKANSAS STATE,1766.0821019592222,16.952604605000033,OFF Note,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vs Arkansas State, REPORT","1st Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
