Timeline,Start time,Duration,Row,Instance number,#0 LaBaron Philon,#1 Jalil Bethea,#10 Keitenn Bristow,#11 Marcus Zegarowski,#11 Preston Murphy Jr.,#15 Noah Williamson,#2 Aden Holloway,#22 Aiden Sherrell,#3 Latrell Wrightsell Jr.,#32 Jacob Martin,#34 Collins Onyejiaka,#4 Davion Hannah,#4 Hayden Doyle,#5 Amari Allen,#6 London Jemison,#7 Taylor Bol Bowen,#95 Houston Mallette,-,2FG (Defenders),2FG (Dribble),2FG (Feet),2FG (Hands),2FG (Other),2FG (PA),2FG (RA),2FG (Type),2FG Scheme (Attack),2FG Scheme (Drive),2FG Scheme (Pass),3FG (Balance),3FG (Contest),3FG (Footwork),3FG (Line),3FG (Move),3FG (Pocket),3FG (Shrink),3FG (Type),3FG Scheme (Attack),3FG Scheme (Drive),3FG Scheme (Pass),ACTION,ATO Plays,Assist (Defenders),Assist (Feet),Assist (Hand),Assist (Jump),Assist (Paint),Assist Type,COVERAGE,FT BELOW,GAME,GAME SPLITS,OPP STATS,PAINT TOUCHES,PASS CONTEST,PLAYCALL,PLAYER POSSESSIONS,PNR GAP HELP,POSITION,POSSESSION START,POSSESSION TYPE,PnR Action,PnR Coverage,PnR Effect,PnR LOCATION,PnR Result Type,PnR Term,PnR Type,SERIES,SHOT CLOCK,SHOT CLOCK PT,Shot Location,Shot Possession Type,TEAM,TO (Defenders),TO (Feet),TO (Hand),TO (Jump),TO (Paint),TO LB/DB,TO Scheme,TO Scheme (Attack),TO Scheme (Drive),TO Scheme (Non-Pass),TO Scheme (Pass),TO Type,Ungrouped,Notes,Flags
25_11_08 ALABAMA VS ST. JOHNS,97.98737699,7.0,#95 Houston Mallette,1,,,,,,,,,,,,,,,,,3FG+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,220.199769025,7.0,#95 Houston Mallette,2,,,,,,,,,,,,,,,,,3FG-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,260.715425623,9.0,#95 Houston Mallette,3,,,,,,,,,,,,,,,,,Misc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT","1st Half, 20:00 - 16:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1105.182355475,9.0,#95 Houston Mallette,4,,,,,,,,,,,,,,,,,Floor Dive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT","1st Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1106.490760354,7.0,#95 Houston Mallette,5,,,,,,,,,,,,,,,,,Foul By,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1461.230504308,7.0,#95 Houston Mallette,6,,,,,,,,,,,,,,,,,3FG-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,1494.4245872,7.0,#95 Houston Mallette,7,,,,,,,,,,,,,,,,,Foul By,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,4676.414934992,7.0,#95 Houston Mallette,8,,,,,,,,,,,,,,,,,Foul By,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,4764.754465207,7.0,#95 Houston Mallette,9,,,,,,,,,,,,,,,,,"Fouled, 3FGF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,Foul,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,4922.866903475,7.0,#95 Houston Mallette,10,,,,,,,,,,,,,,,,,3FG-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25_11_08 ALABAMA VS ST. JOHNS,5575.007225306,9.0,#95 Houston Mallette,11,,,,,,,,,,,,,,,,,Def Reb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"at St. John's, REPORT, REPORT","2nd Half, 16:00 - 12:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
